timestamp,accX,accY,accZ,speed,tiltAngle,vibration
16526,0,0,-9,40,10,0
16643,0,0,-9,40,10,0
16759,0,0,-9,40,10,1
16877,0,0,-9,40,10,0
16994,0,0,-9,40,10,1
17111,0,0,-9,40,10,1
17228,0,0,-9,40,10,0
17345,0,0,-9,40,10,1
17462,0,0,-9,40,10,2
17579,0,0,-9,40,10,0
17696,0,0,-9,40,10,0
17813,0,0,-9,40,10,0
17930,0,0,-9,40,10,0
18048,0,0,-9,40,10,1
18164,0,0,-9,40,10,1
18281,0,0,-9,40,10,0
18401,0,0,-9,40,10,0
18518,0,0,-9,40,10,1
18634,0,0,-9,40,10,1
18752,0,0,-9,40,10,1
18869,0,0,-9,40,10,2
18985,0,0,-9,40,10,1
19102,0,0,-9,40,10,1
19220,0,0,-9,40,10,2
19337,0,0,-9,40,10,0
19453,0,0,-9,40,10,0
19571,0,0,-9,40,10,1
19688,0,0,-9,40,10,0
19805,0,0,-9,40,10,2
19921,0,0,-9,40,10,2
20039,0,0,-9,40,10,1
20156,0,0,-9,40,10,2
20273,0,0,-9,40,10,1
20390,0,0,-9,40,10,1
20507,0,0,-9,40,10,1
20624,0,0,-9,40,10,0
20741,0,0,-9,40,10,1
20858,0,0,-9,40,10,0
20975,0,0,-9,40,10,0
21094,0,0,-9,40,10,1
21212,0,0,-9,40,10,1
21328,0,0,-9,40,10,1
21445,0,0,-9,40,10,2
21563,0,0,-9,40,10,1
21680,0,0,-9,40,10,1
21796,0,0,-9,40,10,1
21913,0,0,-9,40,10,1
14,0,0,1,40,2,625
133,-1,0,2,40,0,1
250,1,0,1,40,3,3
368,-1,0,2,40,0,5
486,-1,1,2,40,2,6
604,-1,0,0,40,0,7
721,1,1,0,40,2,6
839,0,-1,2,40,0,9
957,-1,0,1,40,3,4
14,1,1,0,40,1,712
133,1,1,2,40,2,3
250,-1,-1,0,40,1,3
368,0,-1,0,40,1,3
486,1,-1,1,40,4,3
604,1,1,2,40,3,3
721,3,-3,0,40,1,3
839,-1,1,1,40,1,3
958,0,-1,1,40,1,2
1078,0,0,2,40,2,2
1196,0,0,2,40,2,2
1313,-1,1,0,40,0,2
1431,0,-1,0,40,2,2
1549,-1,0,2,40,1,3
1668,1,0,0,40,0,2
1785,-1,0,1,40,4,2
1903,0,1,1,40,1,3
2021,0,1,0,40,1,2
2139,0,3,0,40,0,3
2256,-1,0,1,40,4,1
2375,-1,-1,2,40,0,3
2493,1,0,1,40,1,1
2611,1,1,0,40,1,2
2728,0,0,0,40,0,3
2846,-1,-1,1,40,3,3
2964,1,-1,1,40,2,2
3082,0,1,0,40,2,2
3201,0,-1,2,40,3,1
3318,1,-1,2,40,2,2
3436,1,0,0,40,0,2
3554,1,1,0,40,2,0
3672,0,-1,2,40,0,2
3789,0,1,0,40,0,2
3907,1,0,1,40,2,3
4025,0,-1,1,40,1,1
4146,1,1,1,40,4,1
4263,-1,1,1,40,4,1
4381,0,0,1,40,3,2
4499,-1,-1,1,40,4,1
4617,0,-1,0,40,4,4
4734,1,-1,0,40,1,0
4853,0,0,1,40,3,4
4971,0,0,2,40,4,7
5089,1,1,0,40,3,3
5207,1,1,0,40,3,2
5324,-1,-1,2,40,0,0
5442,-1,1,1,40,2,2
5560,1,0,0,40,4,1
5678,-1,-1,1,40,3,0
5796,0,0,2,40,4,2
5914,1,0,2,40,4,2
6032,0,0,0,40,0,0
6150,0,0,1,40,2,1
6267,0,1,1,40,1,1
6385,3,0,2,40,1,0
6504,1,1,0,40,4,1
6622,3,-3,2,40,0,0
6739,0,0,2,40,0,2
6857,0,-1,1,40,1,1
6976,-3,0,2,40,1,1
7094,1,0,1,40,2,2
7214,-1,0,1,40,3,1
7331,1,-1,1,40,0,1
7449,1,1,1,40,0,1
7567,0,3,1,40,0,1
7686,1,-1,1,40,4,1
7803,-1,-1,0,40,4,0
7921,-1,1,2,40,1,0
8039,1,1,0,40,4,1
8157,0,0,0,40,2,1
8274,1,0,2,40,4,0
8392,0,0,1,40,1,3
8510,0,0,1,40,1,1
8629,-1,0,2,40,1,1
8747,-1,0,1,40,2,0
8864,-1,0,0,40,4,0
8982,-1,0,2,40,0,1
9100,-1,1,1,40,1,0
9218,0,0,2,40,3,1
9335,0,0,0,40,3,2
9453,1,0,2,40,4,1
9572,-1,-1,1,40,0,1
9690,0,0,2,40,3,2
9807,1,0,2,40,1,1
9925,-1,-1,2,40,1,3
10043,1,-1,2,40,0,1
10161,-1,-1,2,40,1,1
10281,0,1,0,40,1,1
10399,-1,-1,2,40,1,0
10517,1,0,2,40,3,0
10635,1,1,0,40,1,0
10753,1,-1,1,40,2,1
10871,0,1,1,40,1,1
10989,1,1,0,40,4,0
11107,0,-1,1,40,0,2
11225,-1,-1,2,40,2,0
11343,2,-3,2,40,4,2
11461,0,1,0,40,1,2
11579,1,-1,2,40,1,0
11697,-1,-1,1,40,1,1
11814,-1,-1,1,40,0,1
11933,1,0,2,40,3,0
12051,0,-1,2,40,0,0
12169,-1,1,1,40,2,1
12286,1,0,1,40,1,1
12404,1,-1,2,40,2,1
12522,-1,0,0,40,0,0
12640,-1,1,2,40,3,0
12759,1,-1,0,40,2,1
12876,1,1,1,40,1,0
12994,1,-1,1,40,3,0
13112,1,-1,0,40,4,0
13232,0,0,2,40,1,0
13350,0,0,2,40,0,0
13468,-1,1,0,40,4,1
13586,1,-1,1,40,3,1
13704,-1,-1,2,40,3,1
13821,0,1,0,40,3,0
13939,-1,-1,2,40,2,1
14058,-1,0,1,40,4,0
14176,-1,1,1,40,2,1
14294,-1,1,2,40,1,1
14411,0,1,1,40,4,0
14529,1,-1,1,40,4,2
14647,-1,1,2,40,3,0
14766,1,1,2,40,4,0
14883,1,1,1,40,1,1
15001,-1,-1,1,40,3,0
15119,-1,1,0,40,1,1
15237,0,-1,0,40,4,0
15355,1,1,1,40,1,0
15473,-1,-1,1,40,4,0
15591,1,-1,2,40,3,0
15719,-1,-1,2,40,1,2
15837,1,0,0,40,4,0
15954,-1,-1,0,40,3,1
16074,0,1,1,40,0,0
16193,-1,1,1,40,1,0
16311,0,-1,0,40,0,1
16429,1,-1,0,40,1,7
16546,1,0,2,40,0,13
16664,1,0,0,40,0,4
16783,-2,3,1,40,4,5
16901,1,-1,2,40,2,9
17018,1,0,2,40,3,13
17136,-1,-1,0,40,4,3
17254,-1,-1,0,40,3,6
17373,-1,1,2,40,2,5
17490,1,1,2,40,0,3
17608,-1,1,2,40,2,3
17726,0,-1,1,40,0,11
17844,-1,0,2,40,3,5
17961,0,-1,1,40,1,7
18080,0,0,2,40,3,1
18198,0,1,2,40,1,17
18316,1,1,0,40,3,6
18434,1,-1,1,40,2,5
18551,-1,-1,2,40,2,11
18669,0,-1,2,40,0,17
18788,-1,0,0,40,3,2
18906,1,1,1,40,4,5
19025,1,0,2,40,2,14
19143,-1,1,0,40,0,6
19261,0,0,2,40,0,3
19379,1,-1,1,40,3,2
19497,1,1,0,40,2,55
19615,1,1,1,40,0,96
19733,1,-1,1,40,4,73
19851,0,-1,1,40,1,38
19969,1,-1,0,40,1,14
20086,0,-1,1,40,3,13
20205,1,1,2,40,2,4
20323,0,-3,1,40,2,2
20441,0,0,1,40,4,0
20558,1,0,2,40,2,0
20676,1,0,1,40,0,1
20794,0,1,2,40,0,0
20912,1,1,1,40,1,0
21029,-2,1,2,40,1,0
21147,1,-1,1,40,1,1
21265,1,-1,2,40,4,1
21384,-1,0,2,40,0,0
21501,-1,1,1,40,1,3
21619,1,1,1,40,1,1
21737,0,0,2,40,2,2
21857,-1,-1,2,40,3,6
21975,0,-1,2,40,3,0
22093,0,-1,0,40,3,3
